college,department,href
Graduate College,Biomedical Science,/my-ui/courses/by-department.page?search=&_ticket=nME1pGKW0vIPay9rryDfKBTTpbfGzDeP&q.academicUnitId=506
Graduate College,Genetics,/my-ui/courses/by-department.page?search=&_ticket=8W6wqOcCVFcPay9rryDfKBTTpbfGzDeP&q.academicUnitId=502
Graduate College,Informatics,/my-ui/courses/by-department.page?search=&_ticket=iN0mfUsbtQcPay9rryDfKPS14lRMWZ5v&q.academicUnitId=512
Graduate College,Immunology,/my-ui/courses/by-department.page?search=&_ticket=A33iE1pOn5cPay9rryDfKPS14lRMWZ5v&q.academicUnitId=505
Graduate College,International Writing Program,/my-ui/courses/by-department.page?search=&_ticket=m8Fa0cR_Qc8Pay9rryDfKPS14lRMWZ5v&q.academicUnitId=510
Graduate College,Molecular and Cellular Biology,/my-ui/courses/by-department.page?search=&_ticket=cnRGk-lid7YPay9rryDfKPS14lRMWZ5v&q.academicUnitId=504
Graduate College,Neuroscience,/my-ui/courses/by-department.page?search=&_ticket=EqluZ_400EcPay9rryDfKPS14lRMWZ5v&q.academicUnitId=503
Graduate College,Rhetorics of Inquiry,/my-ui/courses/by-department.page?search=&_ticket=pa6LOP9uY4kPay9rryDfKPS14lRMWZ5v&q.academicUnitId=620
Graduate College,Library and Information Science,/my-ui/courses/by-department.page?search=&_ticket=dxjJi4Hi0ToPay9rryDfKPS14lRMWZ5v&q.academicUnitId=499
Graduate College,Translational Biomedicine Program,/my-ui/courses/by-department.page?search=&_ticket=4DDbpYgBrA8Pay9rryDfKPS14lRMWZ5v&q.academicUnitId=508
Graduate College,Human Toxicology,/my-ui/courses/by-department.page?search=&_ticket=qFy22NQ1ozIPay9rryDfKPS14lRMWZ5v&q.academicUnitId=511
Graduate College,Center for the Book,/my-ui/courses/by-department.page?search=&_ticket=xmAL3iT_6fcPay9rryDfKPS14lRMWZ5v&q.academicUnitId=501
Graduate College,Urban and Regional Planning,/my-ui/courses/by-department.page?search=&_ticket=bX41eWx0_YsPay9rryDfKPS14lRMWZ5v&q.academicUnitId=500
College of Public Health,College of Public Health Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=6TJLfNnKOqYPay9rryDfKPxrZxWWA5Tu&q.academicUnitId=414
College of Public Health,Biostatistics,/my-ui/courses/by-department.page?search=&_ticket=LqPOS_OhMrAPay9rryDfKPxrZxWWA5Tu&q.academicUnitId=467
College of Public Health,Community and Behavioral Health,/my-ui/courses/by-department.page?search=&_ticket=3En2QhGzeX0Pay9rryDfKPxrZxWWA5Tu&q.academicUnitId=468
College of Public Health,Epidemiology,/my-ui/courses/by-department.page?search=&_ticket=x9TYqnUtr64Pay9rryDfKPxrZxWWA5Tu&q.academicUnitId=469
College of Public Health,Health Management and Policy,/my-ui/courses/by-department.page?search=&_ticket=3DGbPvKUzD8Pay9rryDfKPxrZxWWA5Tu&q.academicUnitId=470
College of Public Health,Occupational and Environmental Health,/my-ui/courses/by-department.page?search=&_ticket=m8Yfb0IjNXQPay9rryDfKPxrZxWWA5Tu&q.academicUnitId=471
College of Law,College of Law Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=7rXmuF-NSgkPay9rryDfKFa3GMSe79FO&q.academicUnitId=415
College of Law,University of Iowa Center for Human Rights,/my-ui/courses/by-department.page?search=&_ticket=gB_OvqTQBqwPay9rryDfKFa3GMSe79FO&q.academicUnitId=685
